test_name,target_id,n_runs,ref_station_id,true_x,true_y,true_z,mean_est_x,mean_est_y,mean_est_z,mean_err,rmse_err,std_err,min_err,max_err,mean_err_xy,rmse_err_xy,std_err_xy,mean_err_z,rmse_err_z,std_err_z
outside,1,50,1,1572.3704229637895,1432.3284156510585,99.0,1571.1463821293532,1432.0372227295761,86.75079822275808,25.697404377079014,30.082611773551903,15.79869987543937,0.9785932264973861,46.309384258697804,5.177410612019654,6.247619758973515,3.532238119076877,24.82002285868751,29.426701793872976,15.968631359949294
inside,1,50,1,907.799979713967,1175.7824849826113,555.0,907.7577219819302,1175.7143416879126,549.1493076854546,6.016438202915835,8.587885848444259,6.190368975881417,0.02477037366485145,18.609486484658493,0.3277681103552756,0.39269348019832256,0.21847391668068347,5.850778984294609,8.578902912174662,6.33792926763033
farOut,1,50,1,1992.291307434831,14.859310780904234,555.0,2037.5312420920288,-27.740213405285875,475.2868039504169,210.18921637848948,257.05627949989696,149.48354679964515,7.25693884911938,645.5313142387513,177.13201161511893,226.30122057912126,142.27199050561592,79.72167112137191,121.9249293406768,93.18701598018184
random,1,50,1,1544.9842783243737,1588.3654758141006,727.0,1544.6754130857908,1588.1962209317776,726.9212282122788,15.665193109808765,19.56999993905833,11.848819042468595,0.9518719993845707,61.13885484893751,15.113403082033821,18.953435733042088,11.553680099578454,3.981126908435131,4.8736199614030555,2.8397326812823276
mediumOut,2,50,1,1957.6021908915711,66.07650964274427,99.0,1958.539843046736,66.05001251757125,110.57714125679928,87.30500388638748,99.6692531242111,48.56928897321017,18.566256293779865,239.79767435134147,70.96663057123776,87.39694124970113,51.52731280067242,40.33756070106044,47.913825546853936,26.120128199645887
OutFarSameElevation,1,50,1,1992.291307434831,12.013910844135342,111.0,2005.042704575914,0.6229511627938633,157.7254537600074,100.19581336553823,126.99267063399566,78.81739020512977,3.9873594505929932,392.16878008208477,77.12428739305133,99.87203874860876,64.09709167458723,46.7264663755791,78.43923935729421,63.6424291391955
OutFarHighElevation,1,50,1,1992.291307434831,12.013910844135342,1000.0,1991.8902301810888,11.659103573487132,999.9988538295512,77.99114212197622,96.55240430879627,57.49665942664351,3.491686450919771,191.42368132049046,71.22602995790352,88.60488813477862,53.23876577684055,30.760072500381433,38.36066444201178,23.153404038616298
OutCloseSameElevation,1,50,1,517.0909828583021,1537.1482769522606,111.0,517.2192506686384,1537.1986517356354,119.26667807242733,9.197661464801774,13.60609089179321,10.128195284907529,0.343105092373475,32.32128303629039,1.6928999483030969,1.9562203360749377,0.9902008497086787,8.26681693099075,13.464728417330408,10.736103936562992
OutCloseHighElevation,1,50,1,517.0909828583021,1537.1482769522606,1000.0,516.917328510634,1537.3645044686748,999.2424469452088,8.015290354318081,9.748638180493165,5.605306060400254,0.46209945276437425,20.127361078960448,3.626427217660847,4.26313746290222,2.264041596261209,7.04656854480118,8.76707507362454,5.269035179658306
InSameElevation,1,50,1,51.5265239882341,1830.2244704394564,111.0,51.52857417762093,1830.2390410646951,114.0399366523844,6.104074833120093,8.46594572415059,5.9257745068517975,0.1376760927039167,21.582146582463967,0.34191344176005756,0.3942612461939968,0.19830179173765006,5.96193250546006,8.456760317876652,6.05857091271867
InHighElevation,1,50,1,51.5265239882341,1830.2244704394564,1000.0,51.32989167268303,1830.1524085237118,999.4290473517993,5.625738025447816,6.725413824168551,3.7228284692662847,0.7779390757151134,14.533661232495927,1.2356173167980284,1.4270538653848424,0.7212040535633335,5.382258228871856,6.57226812992346,3.810030361621596
CloseRSSameElevation,1,50,1,151.9423876660919,1736.326272526083,111.0,152.08142292479715,1736.3541626312465,110.27570446226473,0.9742348168570533,1.4183407991507067,1.0412694098242217,0.07505685292038897,4.074623357165004,0.36012667768058504,0.40422589673651543,0.18545958252457012,0.7243151988295142,1.3595190498639675,1.162184580727696
CloseRSHighElevation,1,50,1,151.9423876660919,1736.326272526083,1000.0,151.86690357980757,1736.2956073824412,999.798519522149,5.657102383614816,6.846056556429485,3.8947482949152974,1.0476107602840123,16.67426766445435,1.0336537283439937,1.1280632048605919,0.45634591699730753,5.460953148960939,6.752478343517348,4.011966091953429
OutPerpendicular,1,50,5,1729.3843188964397,1784.698071451154,111.0,1728.6847023404623,1784.5968623453527,135.9691094564525,46.27484216594849,56.35889587371423,32.4974744171071,1.4769711544875668,133.62184144166093,30.386415125033835,37.7176220517748,22.571536823647374,24.969941552211953,41.87727463510054,33.95988254082284
